Date,Open,High,Low,Close,Close Change %,Volume,Weekday,High % Above Open,
"Tuesday, July 10, 2018","2,788.56","2,795.58","2,786.24","2,793.84",0.35%,"1,743,427,932",Tuesday,0.251742835,
"Monday, July 09, 2018","2,768.51","2,784.65","2,768.51","2,784.17",0.88%,"1,859,165,478",Monday,0.582985071,
"Friday, July 06, 2018","2,737.68","2,764.41","2,733.52","2,759.82",0.85%,"1,570,610,299",Friday,0.976374156,
"Thursday, July 05, 2018","2,724.19","2,737.83","2,716.02","2,736.61",0.86%,"1,709,735,880",Thursday,0.50069929,
"Tuesday, July 03, 2018","2,733.27","2,736.58","2,711.16","2,713.22",-0.49%,"1,148,652,871",Tuesday,0.121100367,
"Monday, July 02, 2018","2,704.95","2,727.26","2,698.95","2,726.71",0.31%,"1,774,974,648",Monday,0.824784192,
"Friday, June 29, 2018","2,727.13","2,743.26","2,718.03","2,718.37",0.08%,"2,247,611,935",Friday,0.591464287,
"Thursday, June 28, 2018","2,698.69","2,724.34","2,691.99","2,716.31",0.62%,"2,123,739,786",Thursday,0.95046115,
"Wednesday, June 27, 2018","2,728.45","2,746.09","2,699.38","2,699.63",-0.86%,"2,277,333,138",Wednesday,0.646520918,
"Tuesday, June 26, 2018","2,722.12","2,732.91","2,715.60","2,723.06",0.22%,"2,209,004,204",Tuesday,0.396382231,
"Monday, June 25, 2018","2,742.94","2,742.94","2,698.67","2,717.07",-1.37%,"2,404,385,040",Monday,0,
"Friday, June 22, 2018","2,760.79","2,764.17","2,752.68","2,754.88",0.19%,"2,887,234,463",Friday,0.122428725,
"Thursday, June 21, 2018","2,769.28","2,769.28","2,744.39","2,749.76",-0.63%,"2,149,437,119",Thursday,0,
"Wednesday, June 20, 2018","2,769.73","2,774.86","2,763.91","2,767.32",0.17%,"2,184,211,754",Wednesday,0.18521661,
"Tuesday, June 19, 2018","2,752.01","2,765.05","2,743.19","2,762.59",-0.40%,"2,214,221,500",Tuesday,0.473835488,
"Monday, June 18, 2018","2,765.79","2,774.99","2,757.12","2,773.75",-0.21%,"2,029,883,491",Monday,0.332635522,
"Friday, June 15, 2018","2,777.78","2,782.81","2,761.73","2,779.66",-0.10%,"3,501,178,338",Friday,0.181079855,
"Thursday, June 14, 2018","2,783.21","2,789.06","2,776.52","2,782.49",0.25%,"2,271,012,002",Thursday,0.210188954,
"Wednesday, June 13, 2018","2,787.94","2,791.47","2,774.65","2,775.63",-0.40%,"2,422,913,937",Wednesday,0.126616785,
"Tuesday, June 12, 2018","2,785.60","2,789.80","2,778.78","2,786.85",0.17%,"1,989,893,988",Tuesday,0.150775416,
"Monday, June 11, 2018","2,780.18","2,790.21","2,780.17","2,782.00",0.11%,"1,917,077,606",Monday,0.360768008,
"Friday, June 08, 2018","2,765.84","2,779.39","2,763.59","2,779.03",0.31%,"1,813,371,531",Friday,0.489905418,
"Thursday, June 07, 2018","2,774.84","2,779.90","2,760.16","2,770.37",-0.07%,"2,139,133,019",Thursday,0.182352856,
"Wednesday, June 06, 2018","2,753.25","2,772.39","2,748.46","2,772.35",0.86%,"2,130,321,313",Wednesday,0.695178425,
"Tuesday, June 05, 2018","2,748.46","2,752.61","2,739.51","2,748.80",0.07%,"1,982,320,693",Tuesday,0.150993647,
"Monday, June 04, 2018","2,741.67","2,749.16","2,740.54","2,746.87",0.45%,"1,974,155,386",Monday,0.273191157,
"Friday, June 01, 2018","2,718.70","2,736.93","2,718.70","2,734.62",1.08%,"1,995,116,170",Friday,0.670541067,
"Thursday, May 31, 2018","2,720.98","2,722.50","2,700.68","2,705.27",-0.69%,"2,746,987,187",Thursday,0.055862226,
"Wednesday, May 30, 2018","2,702.43","2,729.34","2,702.43","2,724.01",1.27%,"2,032,100,556",Wednesday,0.995770473,
"Tuesday, May 29, 2018","2,705.11","2,710.67","2,676.81","2,689.86",-1.16%,"2,250,972,365",Tuesday,0.205536928,
"Friday, May 25, 2018","2,723.60","2,727.36","2,714.99","2,721.33",-0.24%,"1,683,086,480",Friday,0.138052577,
"Thursday, May 24, 2018","2,730.94","2,731.97","2,707.38","2,727.76",-0.20%,"1,965,051,549",Thursday,0.037715951,
"Wednesday, May 23, 2018","2,713.98","2,733.33","2,709.54","2,733.29",0.32%,"2,030,186,160",Wednesday,0.71297504,
"Tuesday, May 22, 2018","2,738.34","2,742.24","2,721.88","2,724.44",-0.31%,"1,907,818,881",Tuesday,0.142422051,
"Monday, May 21, 2018","2,725.95","2,739.19","2,725.70","2,733.01",0.74%,"1,789,869,036",Monday,0.485702232,
"Friday, May 18, 2018","2,717.35","2,719.50","2,709.18","2,712.97",-0.26%,"1,956,929,148",Friday,0.079121203,
"Thursday, May 17, 2018","2,719.71","2,731.96","2,711.36","2,720.13",-0.09%,"1,863,613,028",Thursday,0.450415669,
"Wednesday, May 16, 2018","2,712.62","2,727.76","2,712.17","2,722.46",0.41%,"1,844,279,675",Wednesday,0.55813199,
"Tuesday, May 15, 2018","2,718.59","2,718.59","2,701.91","2,711.45",-0.68%,"1,964,096,382",Tuesday,0,
"Monday, May 14, 2018","2,733.37","2,742.10","2,725.47","2,730.13",0.09%,"1,820,433,208",Monday,0.319385959,
"Friday, May 11, 2018","2,722.70","2,732.86","2,717.45","2,727.72",0.17%,"1,796,034,174",Friday,0.373158997,
"Thursday, May 10, 2018","2,705.02","2,726.11","2,704.54","2,723.07",0.94%,"1,835,353,794",Thursday,0.779661518,
"Wednesday, May 09, 2018","2,678.12","2,701.27","2,674.14","2,697.79",0.97%,"2,083,097,634",Wednesday,0.864412349,
"Tuesday, May 08, 2018","2,670.26","2,676.34","2,655.20","2,671.92",-0.03%,"2,106,585,852",Tuesday,0.227693183,
"Monday, May 07, 2018","2,669.36","2,683.35","2,664.70","2,672.63",0.35%,"1,911,248,453",Monday,0.524095663,
"Friday, May 04, 2018","2,621.45","2,670.93","2,615.32","2,663.42",1.28%,"1,915,006,736",Friday,1.887505007,
"Thursday, May 03, 2018","2,628.08","2,637.14","2,594.62","2,629.73",-0.23%,"2,395,693,075",Thursday,0.344738364,
"Wednesday, May 02, 2018","2,654.24","2,660.87","2,631.70","2,635.67",-0.72%,"2,303,620,157",Wednesday,0.249789017,
"Tuesday, May 01, 2018","2,643.64","2,655.27","2,625.41","2,654.80",0.25%,"2,185,437,868",Tuesday,0.439923742,
"Monday, April 30, 2018","2,675.05","2,682.92","2,648.04","2,648.05",-0.82%,"2,335,651,561",Monday,0.294200108,
"Friday, April 27, 2018","2,675.47","2,677.35","2,659.01","2,669.91",0.11%,"2,104,565,445",Friday,0.070268028,
"Thursday, April 26, 2018","2,651.65","2,676.48","2,647.16","2,666.94",1.04%,"2,543,293,987",Thursday,0.936398092,
"Wednesday, April 25, 2018","2,634.92","2,645.30","2,612.67","2,639.40",0.18%,"2,203,579,981",Wednesday,0.393939854,
"Tuesday, April 24, 2018","2,680.80","2,683.55","2,617.32","2,634.56",-1.34%,"2,413,969,096",Tuesday,0.102581319,
"Monday, April 23, 2018","2,675.40","2,682.86","2,657.99","2,670.29",0.01%,"1,858,105,237",Monday,0.278836809,
"Friday, April 20, 2018","2,692.56","2,693.94","2,660.61","2,670.14",-0.85%,"2,308,509,070",Friday,0.05125234,
